id,variety
57056,Syrah
57057,Bordeaux-style Red Blend
57058,Cabernet Sauvignon
57059,Cabernet Sauvignon
57060,Rosé
57061,Bordeaux-style Red Blend
57062,Sauvignon Blanc
57063,Merlot
57064,Cabernet Sauvignon
57065,Red Blend
57066,Bordeaux-style Red Blend
57067,Chardonnay
57068,Red Blend
57069,Syrah
57070,Bordeaux-style Red Blend
57071,Cabernet Sauvignon
57072,Red Blend
57073,Rosé
57074,Cabernet Sauvignon
57075,Merlot
57076,Bordeaux-style Red Blend
57077,Pinot Noir
57078,Red Blend
57079,Merlot
57080,Bordeaux-style Red Blend
57081,Riesling
57082,Cabernet Sauvignon
57083,Syrah
57084,Merlot
57085,Rosé
57086,Pinot Noir
57087,Red Blend
57088,Bordeaux-style Red Blend
57089,Chardonnay
57090,Cabernet Sauvignon
57091,Riesling
57092,Riesling
57093,Pinot Noir
57094,Red Blend
57095,Riesling
57096,Syrah
57097,Pinot Noir
57098,Rosé
57099,Riesling
57100,Merlot
57101,Sauvignon Blanc
57102,Red Blend
57103,Rosé
57104,Pinot Noir
57105,Sauvignon Blanc
57106,Rosé
57107,Sauvignon Blanc
57108,Rosé
57109,Syrah
57110,Syrah
57111,Syrah
57112,Chardonnay
57113,Merlot
57114,Bordeaux-style Red Blend
57115,Red Blend
57116,Sauvignon Blanc
57117,Sauvignon Blanc
57118,Pinot Noir
57119,Syrah
57120,Riesling
57121,Rosé
57122,Cabernet Sauvignon
57123,Red Blend
57124,Rosé
57125,Sauvignon Blanc
57126,Cabernet Sauvignon
57127,Cabernet Sauvignon
57128,Merlot
57129,Chardonnay
57130,Cabernet Sauvignon
57131,Bordeaux-style Red Blend
57132,Riesling
57133,Rosé
57134,Red Blend
57135,Syrah
57136,Pinot Noir
57137,Merlot
57138,Riesling
57139,Bordeaux-style Red Blend
57140,Syrah
57141,Syrah
57142,Merlot
57143,Pinot Noir
57144,Chardonnay
57145,Riesling
57146,Pinot Noir
57147,Chardonnay
57148,Rosé
57149,Pinot Noir
57150,Red Blend
57151,Merlot
57152,Chardonnay
57153,Pinot Noir
57154,Sauvignon Blanc
57155,Chardonnay
57156,Riesling
57157,Cabernet Sauvignon
57158,Cabernet Sauvignon
57159,Bordeaux-style Red Blend
57160,Merlot
57161,Riesling
57162,Red Blend
57163,Syrah
57164,Rosé
57165,Red Blend
57166,Syrah
57167,Syrah
57168,Riesling
57169,Red Blend
57170,Pinot Noir
57171,Bordeaux-style Red Blend
57172,Pinot Noir
57173,Syrah
57174,Chardonnay
57175,Chardonnay
